Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Mushroom Prosciutto Ravioli,Italian,6,,"Ingredients:

2 heads garlic
3 tbsp olive oil
24 oz. button mushrooms
18 large sun-dried tomatoes, oil-packed
16 large fresh sage leaves, julienned
½ tsp salt
3 oz. grated cheese
48 won-ton wrappers or fresh pasta****
10 slices prosciutto, julienned


Directions:
Prep
Preheat the oven to 400 degrees. Separate the garlic cloves, but don’t peel them. Place the garlic in two pieces of foil evenly, drizzle a bit of oil over them, and wrap the foil around them. Cook for 1 hour or until soft. Open the foil and set aside to cool. Turn off the oven.

Chop the mushrooms and the sun-dried tomatoes. Julienne the sage and prosciutto.

Main
Grind 16 oz. of the mushrooms, garlic, 2/3 of the tomatoes, and salt in the food processor. Heat 1 tbsp oil in a skillet. Add the mushroom mixture and sage, and cook for 3 minutes. Stir in 3 oz. of the grated cheese, and set aside in a bowl to cool.

Heat another tbsp oil in the same skillet and sauté the rest of the mushrooms until slightly browned. Add in the tomatoes, sage, and prosciutto, and season with salt and pepper. 

Stuff the ***wonton wrapper*** with the mixture. Dampen the edges with water and seal, making sure to push out the air from the center. Bring a pot of water to boil. In batches, cook the ravioli.

When serving, top the ravioli with the sautéed mushrooms and tomatoes. Serve with grated cheese at the table.",,,Entree,,,,
Nachos,Mexican/Latin,,,"ground chicken/beef
black beans
tomato
avocado
black olives
chili powder
lime juice
jalapenos
cotija
corn
crema
cheddar
","homemade taco seasoning: https://thestayathomechef.com/ultimate-nacho-recipe/

esquites: https://www.mylatinatable.com/authentic-mexican-esquites-mexican-corn-salad/

crema: https://www.isabeleats.com/mexican-crema/",,,,,,
Oat-Crusted Salmon,American,,,,,,Entree,,,,
Oatmeal Raisin Cookies,American,24,"1 cup raisins,1.5 cups oats,1 tsp vanilla extract,1  egg(s),1.25 cups dark brown sugar,0.25 tsp salt,0.25 tsp nutmeg,1 tsp cinnamon,1 tsp baking soda,1.5 cups flour,12 tbsp butter (unsalted)","Prep:
Let the butter come to room temperature and soften.

Meanwhile, in a medium-sized bowl, mix 1.5 cups flour, 1 tsp baking soda, 1 tsp cinnamon, 1/4 tsp nutmeg, and 1/4 tsp salt.

Directions:
In the large bowl of a mixer, cream 12 tbsp butter and beat in 1.25 cups brown sugar.

Beat in 1 egg; then add 1 tsp vanilla. Beat the flour mixture into the mixer 1/3 at a time.

At low speed, beat in 1.5 cups oats, and then gently stir in 1 cup raisins. 

Place parchment paper on a cookie sheet and butter it. Preheat the oven to 375 degrees.

Drop balls of dough onto a greased cookie sheet. Bake for 10 minutes or until no longer doughy. Cool on wire racks.",,"Halal,Vegetarian","Cookies,Dessert",1 hour,,9.0,
Olive Tapenade,Italian,,,,,"Paleo,Vegetarian,Halal",Appetizer,,,,
Orecchiette con i Carciofi,Italian,,,"*** 4 large artichokes OR 5 small ones ***
12 oz tomatoes
1 onion
2 cloves garlic
1/2 cup white wine
1/8 cup dried parsley
1/2 ricotta
2/3 cup pecorino

juice of 1 lemon == 2-3 tbsp lemon juice 
1/4 cup fresh parsley == 1/8 cup dried parsley

** Did NOT add the acidulated water to the sauce with the sliced artichoke hearts. Instead, added 1/4 cup fresh water... ","Vegetarian version, adapted from: p. 290 of ""La Cucina: The Regional Cooking of Italy"" by Accademia Italiana della Cucina

Note: These sites have step by step instructions for how to prep the artichokes... 
- https://www.recipesfromitaly.com/roman-style-artichokes/
- https://www.youtube.com/watch?v=laET8v46HwE&list=PL_mu2jLQ79Hxjj0VPPCV9HtryiYQ8vPOR&index=23",Vegetarian,Entree,,,,
Ossobuco,Italian,,,Serve with risotto alla Milanese!,"Serve with risotto alla Milanese!

with gremolata: https://www.lacucinaitaliana.com/italian-food/how-to-cook/how-to-make-traditional-ossobuco-in-gremolata

with mushrooms: https://www.lacucinaitaliana.com/trends/restaurants-and-chefs/ossobuco-with-mushrooms-by-chef-claudio-sadler",,Entree,,,,
Paccheri with Braised Chicken in Saffron Cream,Italian,,,"2 lb chicken breasts
2 tbsp olive oil
2 cups chopped white onions
6 garlic cloves, peeled, crushed
2 cups dry white wine
1 tsp saffron threads, CRUSHED***
2 cups (or more) low-salt chicken broth
1 pound paccheri (giant rigatoni) or regular rigatoni
1 cup heavy whipping cream
2 tbsp lemon juice
2/3 cup chopped fresh basil

Prep: 
Sprinkle chicken with salt and pepper. Fry in a deep skillet over medium heat until golden, ~5 minutes per side.

Meanwhile, chop 2 cups onion and peel and crush 6 cloves garlic. Also, crush 1 tsp saffron with a mortar and pestle.

Directions: 
Transfer chicken to plate, and sauté the onions and garlic in the drippings until onions are slightly softened, 7 to 8 minutes.

At this point, add 2 cups white wine and the 1 tsp of crushed saffron. Bring to a boil and let it continue to boil until the liquid has thickened and reduced by less than half, ~8 minutes.

Move the skillet to the smallest burner. Add 2 cups chicken broth, and return the chicken to the skillet. Bring to a boil, then cover and let it simmer on very low heat for ~1 hour. Adjust the heat as needed to prevent boiling and turn the chicken over after 30 min.

After this, transfer the chicken to a plate to cool. Then, tear chicken into bite-size pieces and set aside. 

At this point, boil salted water for 1 lb pasta and cook it until al dente. When it's done, drain it and set it aside.

Meanwhile, add 1 cup heavy cream to the sauce in the original skillet and let it boil for ~10 min to reduce it. If needed add some cornstarch and water. It's done when it's ALMOST thick enough to coat a spoon. 

While the sauce reduces, you can julienne 2/3 cup of fresh basil.

Stir in 2 tablespoons lemon juice, then chicken pieces. Finally, mix in the pasta. Stir over medium heat until heated through, ~5 min. Add more broth in 2 oz portions to thin the sauce as needed and add more lemon juice by teaspoonful to taste, if desired. 

Finally, season with salt and pepper and stir in the 2/3 cup basil.","Source: https://www.bonappetit.com/recipe/paccheri-pasta-with-braised-chicken-and-saffron-cream

Use whole milk instead of heavy cream to make the dish a bit lighter.",,Entree,,,,
Pain d'épices,French,,,"Pain d’épices

Ingredients


2 C + 1 tbsp flour
¾ C + 2 tbsp brown sugar
1 tsp baking soda
7 tbsp butter
¾ C honey
2/3 C orange juice
1 egg
½ tsp ginger
1½ tsp cinnamon
½ tsp nutmeg
½ tsp ground cloves




Préparation :
Faire chauffer le jus d'orange avec le beurre, le zeste d'orange et le miel.
 
Laisser tiédir.
 
Mélanger la farine, le bicarbonate de soude, le sucre et les épices.
 
Ajouter le mélange jus d'orange / beurre / miel et continuer mélanger.
 
Verser la préparation dans un moule à cake.
 
Faire cuire 45 minutes à 300° F.
 
Vérifier la cuisson avec la pointe d'un couteau.
 
Attendre que le pain d'épices soit tiède avant de le démouler.
",,"Vegetarian,Halal","Dessert,Bread,Cake",,,,
Pan-Seared Steak Au Poivre,French,,,"1) Place the meat on a rack and let it come to room temperature about 30 min to 1 hr before cooking, depending on the thickness of the cut.

2) Pat the steak dry meat before seasoning it because dry meat forms the best crust.

3) Preheat the pan to a high temperature. Ideally, use a cast-iron pan because it heats more evenly, ensuring the steak cooks evenly.

4) Season generously with Kosher salt and freshly ground black pepper *immediately before* cooking. If you season it too early, the salt draws moisture out of the meat. 

5) Add a little bit of oil to the pan. As soon as the oil starts to smoke, that's when you should add the steak to the pan.

6) Cook the steak 3-5 min on each side until a brown crust forms. 
-- Flip multiple times: https://www.seriouseats.com/2012/12/the-food-lab-complete-guide-to-pan-seared-steaks.html#oil
-- Don't turn the steak and flip it only once. This lets the Maillard reaction create that signature taste on seared steak. https://www.foodandwine.com/how/grilling-mistakes-avoid-according-chefs

7) Cooking the steak to 5-10 degrees below the desired temp and then... 
-- Rare: 120-130°F
-- Medium rare: 130-135°F
-- Medium: 140-145°F
-- Medium Well: 150-155°F
-- Well: 160-165°F

8) Make sure to let the steak rest in a warm place after removing it from the pan. It will keep cooking slightly. Resting the steak allows the collagen in the meat to thicken the juices as it cools, creating a juicier steak.
-- Rest 5 min for thin cuts
-- 10 min for thick cuts



Don't forget about the red wine & beef broth for the sauce","https://www.foodandwine.com/how/grilling-mistakes-avoid-according-chefs

https://www.seriouseats.com/2012/12/the-food-lab-complete-guide-to-pan-seared-steaks.html

https://www.foodandwine.com/recipes/steak-au-poivre-red-wine-pan-sauce 

https://cooking.nytimes.com/recipes/1018530-pan-seared-steak-with-red-wine-sauce ",Paleo,Entree,,steak_au_poivre.jpg (https://dl.airtable.com/.attachments/c5b57484b5911b574db3d5d15b28f03a/d77e3f7b/IMG_5749.jpg),,
Pasta e Fagiole ,Italian,6,"8 oz pasta,2 cups spinach,30 oz cannellini beans,16 oz water,4 cups chicken broth,1.5 cups tomato puree,2  bay leaves,0.5 tsp black pepper,0.5 tsp salt,1 tsp rosemary,1 tsp thyme,4 cloves garlic,1 cup celery,1 cup carrot,1  onion(s),1 tbsp olive oil","** 4 oz pancetta, finely diced

Prep:
Chop the onion, carrots, and celery. Open the cans of beans and tomato puree. 

Main:
Heat the oil in a large stockpot over medium-high heat.  Add the pancetta and sauté until lightly browned.  Add the onion, carrot and celery.  Sauté until softened, about 15 minutes.

Add the garlic and seasonings and cook for 2 minutes.  Stir in the tomatoes, broth, and water. Bring to a boil and simmer for 30 minutes.

Stir in the beans and return to a boil.  Add the spinach and pasta and cook for 8 minutes, stirring frequently. Remove the bay leaves and serve hot, sprinkled with grated cheese.",https://docs.google.com/document/d/1mC8Zcp1H-Psa0WUso0TUUxCRRiAh8GtN/edit?rtpof=true,,"Entree,Soup",2.5 hours,,,
Pasta e Lenticchie,Italian,,,,"Neapolitan dish

https://www.tastingtable.com/cook/recipes/pasta-with-lentils-recipe-best-pasta-recipes-how-to-cook-pasta
https://www.lentils.org/recipe/pasta-e-lenticchie/
https://www.tavolartegusto.it/ricetta/pasta-e-lenticchie/",,,,,,
Pasta with Sausage and Zucchini in Cream Sauce,Italian,,,"12 oz. linguini
8 Italian sausage links, skinned
4 tbsp olive oil
4 cloves garlic
¼ cup yellow onion, minced
¼ cup celery, minced
¼ cup carrot, minced
1 lb. zucchini, julienned
¼ cup vermouth
½ tsp black pepper
1 tsp tarragon
1 tsp basil
2 cups light cream
2/3 cup Parmesan


Directions:

Prep
Chop the onion, celery, carrot and sausage. Cook the sausage in 1 tbsp olive oil for about 15-20 minutes or until lightly browned. Meanwhile, julienne the zucchini.

Main
Add the garlic to the sausage and sauté for 1 minute. Remove the sausage to a bowl with a slotted spoon. Sauté the onion, celery, and carrot until soft (~10 minutes). Add the vermouth, and simmer for 5 minutes. Remove the vegetables to the bowl with the sausage.

Bring a large pot of water to boil and cook the linguini. Meanwhile, heat 2 tbsp of olive oil and sauté the zucchini until tender. Season with the black pepper, salt, tarragon, and basil. Add the vegetables and sausage and mix well. Microwave the cream for 2 minutes. Add to the sausage mixture. Simmer for 7 minutes.

Mix the sauce with the pasta and the Parmesan. Serve with more Parmesan.
",,,Entree,,,,
Pasta with Zucchini in Cream Sauce,Italian,6,"0.75 cup parmigiano reggiano,2 cups light cream,1.5 tsp basil,2 tsp tarragon,1 tsp black pepper,3 oz vermouth,1.25 lb zucchini,0.33 cup onion(s),0.33 cup carrot,0.33 cup celery,5 cloves garlic,  olive oil,12 oz linguine","Prep:
Chop the onion, celery, and carrot. Then julienne the zucchini.

Directions:
Crush and sauté the garlic for 1 minute. Sauté the onion, celery, and carrot until soft (~10 minutes). Add the vermouth, and simmer for 5 minutes. Set aside the vegetables in a bowl.

Bring a large pot of water to boil and cook the linguini. Meanwhile, heat 2 tbsp of olive oil and sauté the zucchini until tender. Season with the black pepper, salt, tarragon, and basil. Add the vegetables  and mix well. Microwave the cream for 2 minutes. Add to the vegetable mixture. Simmer for 7 minutes.

Mix the sauce with the pasta and the Parmesan. Serve with more Parmesan.
",,Vegetarian,Entree,2.5 hours,IMG_4992.jpeg (https://dl.airtable.com/.attachments/d522a50b37d38246eeedfbb298c08aeb/1cb5fdcd/IMG_4992.jpeg),,
Pasticelle (Chocolate Chestnut Filled Pastries),Italian,,,,https://blog.giallozafferano.it/amorosa/pasticelle-di-battipaglia/ ,Vegetarian,"Cookies,Dessert",,,,
Pastitsio,Greek,,"0.75 cup parmigiano reggiano,0.25 cup milk,0.5 tsp nutmeg,4  egg yolk(s),24 oz ricotta,3 cups tomato sauce,24 oz ground lamb,  pepper to taste,  salt to taste,0.125 tsp cloves (ground),0.75 tsp cinnamon,1 tsp oregano,1  onion(s),16 oz pasta","Prep:
Mince 1 onion and set aside. 

Bring  a large pot of water to a boil and cook the pasta ~10 min or until it's al dente. Drain and set aside.

Directions:
Meanwhile, heat the oil in a medium pot.  Stir in the onion, 1 tsp oregano, 3/4 tsp cinnamon, 1/8 tsp cloves, salt, and pepper.  Cook, stirring occasionally, until the onion begins to soften. Add the ground lamb, stirring to break into small pieces.  Cook over high heat, stirring occasionally, until no longer pink and most of the liquid has evaporated, about 10 minutes.  

Add 3 cups tomato sauce and bring to a boil.  Boil over high heat, stirring occasionally, until the sauce has reduced slightly, about 5 minutes.

Grease a 9"" x 13"" glass casserole dish. Remove the lamb mixture from the heat and mix in the cooked pasta.  Spread evenly in the prepared baking dish. Set aside.

Preheat oven to 350 degrees.  Put the ricotta in a food processor and process until smooth.  Add the egg yolks, nutmeg, milk, and 1/2 cup of the grated cheese, and process until smooth.   Pour evenly over the pasta, smoothing the top.  Sprinkle with the remaining 1/4 cup Parmesan.

Bake in the center of the oven for 20 minutes, or until heated through. Turn on the broiler and broil until the top is golden brown.  Remove from the oven and let stand 5 minutes before serving
","Source: https://www.foodandwine.com/recipes/greek-baked-pasta
p. 84 of March 2009 magazine issue

Use the regular Italian tomato sauce recipe 

For the pasta, use penne, ziti, or rigatoni per your preference",Halal,Entree,,"pastitsio1.png (https://dl.airtable.com/.attachments/f3413654616e97a46adaea1a0f657ac0/9c34ab32/pastitsio1.png),pastitsio2.png (https://dl.airtable.com/.attachments/d7ccd778b9098520b85887f37d4a9b59/65082b19/pastitsio2.png)",10.0,
Peppermint Twists,,,,"2/3 cup butter, softened
1 cup sugar
½ tsp baking powder
¼ tsp salt
1 large egg
1 tsp peppermint extract
2 ¼ cups flour
red & green food coloring
sanding sugar for topping


Directions:
Prep
In the large bowl of a mixer, cream the butter and mix in the sugar, baking powder, and salt. Beat in the egg and peppermint extract. Then mix in the flour 1/3 at a time. Divide the dough into pieces that are 1/4, 3/8, and 3/8 of the dough. Mix the red and green food coloring into each of one of the large dough pieces in the mixer. Make sure to wash the bowl in between mixing the two colors.

Chill for 1 hour.

Main
Roll the dough into 6-inch long logs. Wrap various colored logs together, and shape into candy canes. Cover and chill for 30 minutes.

Preheat the oven to 350 degrees. Place the cookies on a greased cookie sheet. Bake for 8 minutes or until no longer doughy. Cool on wire racks.


",https://docs.google.com/document/d/198dtfi_-lxAWCctCHGfsDMqTDw5_i5vb/edit# ,"Vegetarian,Halal","Cookies,Dessert",,,,
Peruvian Roast Chicken,Mexican/Latin,,,"1 whole chicken
3 garlic cloves, finely chopped
1 tablespoon ground cumin
1 tablespoon olive oil
1 tablespoon paprika
1/2 teaspoon freshly ground black pepper
1/2 teaspoon dried oregano
1/2 teaspoons salt
3 tbsp lemon juice
1 tsp salt


Prep:
Arrange rack in middle of oven. Take out a roasting pan or a large oven-safe skillet. Peel the garlic.

Directions:
In a large bowl, mix 3 cloves of crushed garlic, 1 tbsp cumin, 1 tbsp paprika, 1 tbsp olive oil, 1/2 tsp oregano, 1/2 tsp salt, 1/2 tsp black pepper, and 3 tbsp lemon juice. 

Place chicken breast side down on work surface. Spatchcock chicken by cutting along both sides of backbone with kitchen shears. Remove backbone; reserve for stock. Turn chicken breast side up and splay open. Press down on breastbone with palms until you hear it crack and chicken is as flat as possible. Pat chicken dry with paper towels. 

At this point, preheat the oven to 400°F. 

From both edges of cavity, loosen skin from breasts and thighs, being careful not to tear skin. Gently spread 2 heaping tbsp spice mixture under skin, reserving the remaining spice mixture, then season chicken all over with remaining 1 tsp salt. Transfer the chicken, spread flat and skin side up, to the pan or skillet.

Roast chicken 20 minutes, then brush with spice mixture and pan juices. Continue roasting, basting with spice mixture and pan juices every 20 minutes, until juices run clear when thigh is pierced with a fork or an instant-read thermometer inserted into thickest part of thigh registers 165ºF, 50-60 minutes total.

Transfer chicken to a cutting board and let rest 15 minutes, reserving pan juices.","Source:
https://www.epicurious.com/recipes/food/views/peruvian-style-roast-chicken-with-tangy-green-sauce","Paleo,Halal",Entree,,,,
